Djelani Maachi,06 88 88 57 47,"40 Rue Coquillière, 75001 Paris",http://www.djelani-maachi.com/,Paris,2025-02-06T13:56:17.806Z
Valessio - Coiffeur Paris 5,01 46 34 14 91,"Valessio - Coiffeur Paris 5, 32 Rue Monge, 75005 Paris",https://valessio-coiffeur-paris.fr/nos-salons/coiffeur-paris-5/?utm_source=google&utm_medium=gmb&utm_campaign=paris_5&utm_id=google_local,Paris,2025-02-06T13:56:18.754Z
Studio Ana'e,01 45 31 52 05,"4 Rue du Pont Louis-Philippe, 75004 Paris",https://www.studioanae.com/,Paris,2025-02-06T13:56:19.632Z
Le Salon YD coiffeur paris 5,09 75 21 64 11,"28 Rue Monge, 75005 Paris",https://www.planity.com/le-salon-yd-75005-paris,Paris,2025-02-06T13:56:20.460Z
Jordy Brechkoff / Salon de Coiffure Paris,01 47 42 40 42,"27 Rue du 4 septembre, 75002 Paris",https://www.jordybrechkoff.com/,Paris,2025-02-06T13:56:21.304Z
L'Instant Barbier,01 45 35 47 22,"43 Rue de Turenne, 75003 Paris",https://www.linstantbarbier.fr/,Paris,2025-02-06T13:56:22.186Z
Medley Rive Droite,01 44 61 89 29,"21 Rue Vieille du Temple, 75004 Paris",http://www.medley.fr/,Paris,2025-02-06T13:56:23.035Z
Prestige Barber - Barbier Coiffeur,06 16 38 71 62,"6 Rue des Prêcheurs, 75001 Paris",https://www.prestige-barber-paris.fr/,Paris,2025-02-06T13:56:23.920Z
Moment Couleur - Paris 5,01 42 01 69 48,"64 Bd Saint-Germain, 75005 Paris",https://moment-couleur.fr/,Paris,2025-02-06T13:56:24.804Z
Tchip Coiffure Paris 1er St Honoré,01 85 52 01 55,"60 Rue Saint-Honoré, 75001 Paris",https://tchip.fr/salon/view/1667/,Paris,2025-02-06T13:56:25.692Z
Christophe Nicolas Biot Maison de Coiffure,01 43 26 58 21,"52 Rue Saint-André des Arts, 75006 Paris",https://urlz.fr/nHqy,Paris,2025-02-06T13:56:26.544Z
Zazen paris,01 42 78 29 37,"38 Rue du Roi de Sicile, 75004 Paris",http://zazenparis.com/,Paris,2025-02-06T13:56:27.393Z
D.S Coiffure,01 42 72 04 12,"164 Rue Saint-Martin, 75003 Paris",,Paris,2025-02-06T13:56:28.251Z
Maison Kärving,01 43 31 39 84,"29 Rue des Francs Bourgeois, 75004 Paris",https://www.planity.com/maison-karving-75004-paris,Paris,2025-02-06T13:56:29.124Z
Incandescent Paris,01 43 70 51 26,"3 Rue Simon le Franc, 75004 Paris",https://www.planity.com/le-salon-incandescent-75004-paris,Paris,2025-02-06T13:56:29.971Z
Bonhomme,01 48 42 30 55,"45 Rue des Archives, 75003 Paris",http://www.bonhomme.com/,Paris,2025-02-06T13:56:30.817Z
Velvety Hair,01 71 27 54 19,"23 Bd de Sébastopol, 75001 Paris",https://velvetyparis.com/,Paris,2025-02-06T13:56:31.646Z
